"name","ipv4address","enabled","distinguishedname","description","LastLogonDate","OperatingSystem"
"UTODSP4093953","None Found","True","CN=UTODSP4093953,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","Poly Classrooms Support ASU Sync Computer","8/15/2021 8:42:50 AM","Windows 10 Enterprise"
"UTODSPC","None Found","True","CN=UTODSPC,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"9/24/2021 11:08:15 AM","Windows 10 Enterprise"
"UTODSP4090698","None Found","True","CN=UTODSP4090698,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","H4NZFX1 \ 4090698 - Dell Inc. OptiPlex 7010","8/8/2018 5:44:05 AM","Windows 10 Enterprise"
"UTODSP4143293","None Found","True","CN=UTODSP4143293,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"3/5/2020 12:32:11 PM","Windows 10 Enterprise"
"UTODSP4108631","None Found","True","CN=UTODSP4108631,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"5/25/2021 2:45:14 PM","Windows 10 Enterprise"
"UTODSP4155224","None Found","True","CN=UTODSP4155224,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"8/30/2021 11:07:56 AM","Windows 10 Enterprise"
"UTO516784953","None Found","False","CN=UTO516784953,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"2/7/2019 11:12:05 AM","Windows 10 Enterprise"
"UTODSP4093947","None Found","True","CN=UTODSP4093947,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","Poly Classrooms Support Clock-in PC","9/20/2021 4:07:01 PM","Windows 10 Enterprise"
"UTO4167454","None Found","True","CN=UTO4167454,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu",,"9/21/2021 8:16:13 AM","Windows 10 Enterprise"
"STVIL-CL5B0Q2","None Found","True","CN=STVIL-CL5B0Q2,OU=UTO.CareDSPoly.Computers,OU=UTO.CareDSPoly,OU=UTO,DC=asurite,DC=ad,DC=asu,DC=edu","West Desert Startup Village Computers (moved to Phantom Hall)","9/18/2021 8:41:20 PM","Windows 10 Enterprise"
