"name","ipv4address","enabled","distinguishedname","LastLogonDate","OperatingSystem"
"CLScls4108686","None Found","True","CN=CLScls4108686,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","8/29/2019 4:07:46 PM","Windows 10 Enterprise"
"CISA4156578","None Found","True","CN=CISA4156578,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","10/15/2021 8:32:59 PM","Windows 10 Enterprise"
"CLSHUM4155077","None Found","True","CN=CLSHUM4155077,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","10/11/2021 12:41:55 AM","Windows 10 Enterprise"
"CLSSM-4096110","None Found","True","CN=CLSSM-4096110,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","10/14/2021 12:44:31 PM","Windows 10 Enterprise"
"CLSSM-4108605V1","None Found","False","CN=CLSSM-4108605V1,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","3/28/2019 4:20:51 PM","Windows 10 Enterprise"
"CLScls4102557","None Found","True","CN=CLScls4102557,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","10/7/2021 8:44:05 PM",
"CLSCLS4136176","None Found","True","CN=CLSCLS4136176,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","11/21/2019 9:13:56 AM","Windows 10 Enterprise"
"CLScls4108709","None Found","True","CN=CLScls4108709,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","10/28/2019 9:45:45 AM","Windows 10 Enterprise"
"CLSCLS4090709","None Found","True","CN=CLSCLS4090709,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","1/7/2020 3:34:08 PM","Windows 10 Enterprise"
"CLSCLS4155162","None Found","True","CN=CLSCLS4155162,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","9/17/2021 9:15:24 AM","Windows 10 Enterprise"
"CLScls4084964","None Found","True","CN=CLScls4084964,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","10/10/2019 10:36:27 AM","Windows 10 Enterprise"
"CLSCLS4108864","None Found","True","CN=CLSCLS4108864,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","3/4/2020 4:20:07 PM","Windows 10 Enterprise"
"DUCCLS-J4WT3G2","None Found","True","CN=DUCCLS-J4WT3G2,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","3/12/2020 9:59:33 AM","Windows 10 Enterprise"
"CLSCLS4144178","None Found","True","CN=CLSCLS4144178,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","4/17/2021 11:39:59 AM","Windows 10 Enterprise"
"DUCCLS-C754KH2","None Found","True","CN=DUCCLS-C754KH2,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","10/2/2021 12:58:13 PM","Windows 10 Enterprise"
"CLSSM-4090695","None Found","True","CN=CLSSM-4090695,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","7/30/2019 10:27:45 AM","Windows 10 Enterprise"
"CISA4155213","None Found","True","CN=CISA4155213,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","10/8/2021 11:45:13 PM","Windows 10 Enterprise"
"CLSSM-4155070","None Found","True","CN=CLSSM-4155070,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","5/10/2020 12:36:13 PM","Windows 10 Enterprise"
"CLSSM-4090734","None Found","True","CN=CLSSM-4090734,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","10/14/2021 6:11:00 PM","Windows 10 Enterprise"
"UTOdsp4092804","None Found","True","CN=UTOdsp4092804,OU=P.POLY.CLS.CLS.Computers,OU=P.POLY.CLS.CLS,OU=P.POLY.CLS,OU=P.POLY,DC=asurite,DC=ad,DC=asu,DC=edu","8/12/2020 3:45:16 PM","Windows 10 Enterprise"
